apartment_name,nearbylocation
Casagrand Aquene,"[('Kengeri Metro Station', '1.5 km'), ('Gopalan Arcade Mall', '2.0 km'), ('BKP International Public School', '1.8 km'), ('PES University', '2.0 km'), ('HK Hospital', '2.0 km')]"
Casagrand Boulevard,"[('Regal Hospital', '1.5 km'), ('Bangalore Prime Hospital', '1.8 km'), ('Karnataka College', '1.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '2.0 km')]"
Casagrand Casablanca,"[('Fortis Hospital', '9.9 km'), ('Hastam Montessori', '3.6 km'), ('Metro Station Thalagattapura', '2.9 km'), ('Royal Meenakshi Mall', '8.7 km'), ('Christ University', '15.9 km')]"
Casagrand Flamingo,"[('Hosa Road Metro Station', '1.5 km'), ('Market Square Mall', '2.0 km'), ('Vibgyor High School', '1.8 km'), ('Christ University', '2.0 km'), ('Dr Heal Hospital', '2.0 km'), ('Karmelaram Railway Station', '1.5 km')]"
Casagrand Hazen,"[('Noble Multispeciality Hospitals', '2.0 km'), ('Mount St Joseph School', '2.5 km'), ('Doddakallasandra Metro Station', '2.0 km'), ('Royal Meenakshi Mall', '2.5 km'), ('Christ University', '3.0 km')]"
Casagrand Lorenza,"[('REVA University', '2.0 km'), ('KNS Institute of Technology', '1.5 km'), ('Regal Hospital', '1.8 km'), ('Bhartiya Mall of Bengaluru', '2.5 km'), ('Yelahanka Junction', '3.0 km'), ('Manyata Tech Park', '3.5 km'), ('Elements Mall', '3.0 km')]"
Casagrand Royce,"[('Hoodi Bus Stand', '1 km'), ('KR Puram Metro Station', '2 km'), ('Cambridge School', '2 km'), ('Sai Ram Hospital', '2 km'), ('KR Puram Railway Station', '2.5 km'), ('International Tech Park Bangalore', '3 km'), ('Phoenix Marketcity', '4 km')]"
Casagrand Zaiden,"[('Jnana Sweekar Public School', '2.0 km'), ('Ritu Hospital', '5.0 km'), ('ILK Institute Metro Station', '2.0 km'), ('Forum Mall', '6.4 km'), ('Purva Zentech Business Park', '5.8 km')]"
Cedar at Brigade Orchards,"[('Sri Shirdi Sai Hospital', '1.5 km'), ('Devanahalli Railway Station', '2.0 km'), ('Govt High School', '2.5 km'), ('Nandi Upahara', '1.8 km'), ('The Arcade', '6.0 km'), ('Bengaluru Signature Business Park', '9.0 km')]"
Celebration Apartment,"[('Kengeri Metro Station', '1.5 km'), ('Ullalu Government Hospital', '2.0 km'), ('S.S.G. Hospital', '2.0 km'), ('East West Institue of Technology', '2.0 km'), ('Government School', '1.8 km')]"
Celebrations,"[('Kengeri Metro Station', '1.5 km'), ('Ullalu Government Hospital', '2.0 km'), ('S.S.G. Hospital', '2.0 km'), ('East West Institue of Technology', '2.0 km'), ('Government School', '1.8 km')]"
Celebrity Signature,"[('Srujana Hospital', '2.0 km'), ('Sacretis School', '1.8 km'), ('Wipro EC Bus Stand', '1.5 km'), ('E-City Family Dental Centre', '1.8 km')]"
Celebrity Square,"[('Saraswathi Healthcare', '2.0 km'), ('N.R. Hospital', '2.0 km'), ('Attibele Bus Stand', '1.5 km'), ('Shanvi Dental Clinic', '1.8 km'), ('Elite Hospital', '2.0 km')]"
Celebrity Square Apartments,"[('Saraswathi Healthcare', '1.5 km'), ('Government Hospital Hosur', '2.0 km'), ('Attibele Bus Stand', '1.8 km'), ('Shanvi Dental Clinic', '1.5 km'), ('Oxford Medical College', '3.0 km')]"
Centreo by Prime One Corp and Enessen Estates,"[('Kengeri Metro Station', '2.0 km'), ('Shankar Super Specialty Hospital', '1.8 km'), ('Yashasvi International School', '2.0 km'), ('Dayananda Sagar University', '2.5 km')]"
Century,"[('Jawaharlal Nehru Centre For Advanced Scientific Research', '3.0 km'), ('Amrutha Hospital', '1.8 km'), ('The Galleria Mall', '4.0 km'), ('Yelahanka Junction', '3.5 km'), ('Bellary Road', '1.0 km')]"
Century Breeze,"[('Ashwini Hospital', '2.0 km'), ('Vidyashilp Academy', '2.5 km'), ('The Galleria Mall', '2.0 km'), ('Yelahanka Junction', '3.0 km'), ('East West College of Engineering', '3.5 km'), ('NH44', '1.5 km'), ('L&T Tech Park', '4.0 km')]"
Century Celeste,"[('Manasa Trinity Heart Hospital', '1.5 km'), ('Jayalakshmi Hospital', '1.8 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '3.0 km'), ('The Galleria Mall', '4.0 km'), ('Yelahanka Junction', '3.5 km'), ('INOX RMZ Galleria Mall', '4.0 km'), ('Bellary Road', '1.0 km')]"
Century Central,"[('Yelachenahalli Metro Station', '2.0 km'), ('Sri Sai Ram Hospital', '1.5 km'), ('Arpitha Medicals', '0.8 km'), ('Jyothi Kendriya Vidyalaya', '1.8 km'), ('Athithi Grand', '1.2 km')]"
Century Commanders Vista,"[('Akshaya Nursing Home Yelahanka', '1.5 km'), ('Navachethana Hospital', '1.8 km'), ('N4 Srishti Institute of Art Design & Technology', '1.0 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km'), ('Royal Kempegowda Convention Center', '1.5 km'), ('Ryan International School', '2.5 km')]"
Century Ethos,"[('Prolife Hospital', '2.5 km'), ('Impact College of Engineering', '2.5 km'), ('Esteem Mall', '1.6 km'), ('Brigade Magnum Tech Park', '0.65 km'), ('Vidyashilp Academy', '7.1 km'), ('Goraguntepalya Metro Station', '9.3 km'), ('Elements Mall', '4.6 km')]"
Century Ethos Hebbal,"[('Brigade Magnum Tech Park', '0.65 km'), ('Esteem Mall', '1.6 km'), ('Prolife Hospital', '2.5 km'), ('Impact College of Engineering', '2.5 km'), ('NH44', '2.4 km'), ('Vidyashilp Academy', '7.1 km'), ('Courtyard by Marriott', '9.0 km')]"
Century Indus,"[('BGS Global Hospitals', '2.0 km'), ('RNS Institute of Technology', '1.8 km'), ('Rajarajeshwari Nagar Metro Station', '1.5 km'), ('Global Village Tech Park', '2.0 km'), ('JSS Academy of Technical Education', '2.0 km')]"
Chaithanya Oakville,"[('Vydehi School of Excellence', '2 km'), ('Columbia Asia Hospital Whitefield', '2 km'), ('Svastha Hospital Whitefield', '2 km'), ('Whitefield Main Road', '1 km'), ('Forum Value Mall', '2 km'), ('Brookefield Mall', '2 km'), ('Whitefield Metro Station', '2 km')]"
Chaithanya Samarth,"[('New Baldwin International School', '2 km'), ('Brilliant National School', '2 km'), ('East Point Hospital', '2 km'), ('Geetha Hospital', '2 km'), ('Budigere Road', '1 km'), ('Orion Uptown Mall', '3 km')]"
Chartered Madhura,"[('C.S.Hospital', '1.5 km'), ('Sri Chaitanya Techno School', '1.8 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Bangalore International Public School', '2.0 km'), ('Royal Meenakshi Mall', '4.0 km')]"
Chetan Habitat,"[('Medi Derma Hospital', '1.5 km'), ('Teresa Bacq School', '1.0 km'), ('Manasa Public School', '1.5 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km')]"
Chethan,"[('Indus Valley School', '2 km'), ('Cambridge Institute of Technology', '2 km'), ('Seegehalli Government Hospital', '2 km'), ('Hoodi Railway Station', '2 km'), ('International Tech Park', '2 km'), ('Hoodi Junction Metro Station', '2 km')]"
Chirag Residency,"[('Kengeri Metro Station', '1.5 km'), ('Rajarajeshwari Hospital', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Global Village Tech Park', '2.0 km'), ('IBS Business School', '2.0 km')]"
Chithaary Greens,"[('Vijayashree Hospitals', '1.5 km'), ('Narayana Nethralaya', '2.0 km'), ('T John Institute of Technology', '1.8 km'), ('Cinepolis', '2.5 km'), ('GHPS Gottigere', '2.0 km')]"
Chithaary Sayoonee,"[('Vijayashree Hospitals', '2.0 km'), ('Narayana Nethralaya', '2.0 km'), ('Sudarshan Public School', '1.8 km'), ('BMTC Bus Depot 34', '2.0 km'), ('T John Institute of Technology', '2.5 km')]"
Chitrakut Shelter,"[('Ashirwad Hospital', '1.5 km'), ('Synergy Health Care', '1.8 km'), ('Sukrupa School', '1.0 km'), ('Hebbal Railway Station', '2.0 km'), ('Elements Mall', '2.5 km'), ('Yeshwantpur Junction', '3.0 km'), ('Mona Nursery Primary and High School', '1.0 km')]"
Chowdeshwari Arcade,"[('K.C. General Hospital', '1.5 km'), ('Manipal Northside Hospital', '2.0 km'), ('Government Pre University College', '1.8 km'), ('Srirampura Metro Station', '2.0 km'), ('Malleswaram Railway Station', '2.5 km')]"
Chowriyappa Consolation,"[('Venkateshapura Metro Station', '2.0 km'), ('Sathya Hospital', '1.5 km'), ('Zion Hospital and Research Centre', '1.8 km'), ('Orchid Academy', '1.0 km'), ('Elements Mall', '3.0 km'), ('Banaswadi Railway Station', '2.5 km'), ('Kammanahalli Main Road', '1.0 km')]"
Columbia AALtius,"[('Hebbagodi Metro Station', '1.5 km'), ('Mazumdar Shaw Medical Center', '2.0 km'), ('Sorsfort International School', '1.8 km'), ('Christ University', '2.5 km'), ('New Heelalige Railway Station', '2.0 km')]"
Columbia Pacific Serviced Community,"[('New Baldwin International Residential School', '2 km'), ('Whitefield (Kadugodi) Metro Station', '3 km'), ('Nexus Shantiniketan Mall', '4 km'), ('Manipal Hospital Whitefield', '4 km'), ('Whitefield Main Road', '1 km'), ('ITPL', '5 km'), ('Hope Farm Metro Station', '3 km')]"
Columbia SR Flora,"[('Jayashree Multi Speciality Hospital', '1.5 km'), ('Vinayaka Health Care', '2.0 km'), ('St Francis ICSE School', '1.8 km'), ('Kudlu Gate Metro Station', '2.0 km'), ('Galaxy Paradise', '2.0 km')]"
Concord Heights,"[('Regal Hospital', '1.5 km'), ('Bangalore Prime Hospital', '1.8 km'), ('Karnataka College', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '3.0 km')]"
Concorde Auriga,"[('Stanford Public School', '2 km'), ('Deepa Hospital', '2 km'), ('Subashanagar Bus Stop', '1 km'), ('Channasandra Junction', '1 km'), ('KR Puram Railway Station', '2 km'), ('Old Madras Road', '1 km')]"
Concorde Epitome,"[('JJ Hospitals', '1.5 km'), ('Ebenezer International School Bangalore', '1.8 km'), ('Hebbagodi Metro Station', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Infosys Office', '2.5 km')]"
Concorde Mayfair,"[('Sparsh Hospital Yelahanka', '0.8 km'), ('Cambridge English High School', '1.2 km'), ('Yelahanka Junction', '1.2 km'), ('The Galleria Mall', '1.0 km'), ('University of Agricultural Sciences', '6.2 km'), ('NH44', '4.1 km'), ('Attide Boutique Hotel', '5.2 km')]"
Concorde Midway City,"[('Hosa Road Metro Station', '1.5 km'), ('Blossom Multispecialty Hospital', '2.0 km'), ('Pragathi School Chikkatoru', '1.8 km'), ('Azim Premji University', '2.5 km'), ('Oxford School Beratena Agrahara', '2.0 km')]"
Concorde Neo,"[('Sai Hospital', '1.5 km'), ('Navya Hospital', '1.8 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Kensri School', '2.0 km')]"
Concorde Tech Turf,"[('People Tree Hospitals', '2.0 km'), ('L.C.R. English School', '1.8 km'), ('Yeshwantpur Metro Station', '1.5 km'), ('M.S.Polytechnic', '2.0 km'), ('Yesvantpur Junction Railway Station', '1.5 km')]"
Confident Meadows,"[('Saandeepani Academy For Excellence', '2 km'), ('Kidzee Sompura', '2 km'), ('Azim Premji University', '2 km'), ('Spandana Hospital', '2 km'), ('Karmelaram Railway Station', '2 km'), ('Virginia Mall', '2 km'), ('SH 35', '1 km')]"
Confident Oxygen,"[('Stanford Speciality Hospital', '2 km'), ('Sarjapur Road', '1 km'), ('Market Square Mall', '2 km'), ('Saandeepani Academy For Excellence', '2 km'), ('Wipro Limited SEZ', '3 km')]"
Corporate Suncity Apartments,"[('GHPS Ibaloor', '2 km'), ('Ittina Wellness Centre', '2 km'), ('Sarjapur Main Road', '1 km'), ('RGA Techpark', '2 km'), ('Carmelaram Railway Station', '3 km')]"
Countryside Radiance,"[('Infosys Office', '2.5 km'), ('Hebbagodi Metro Station', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '2.5 km'), ('SBR Lucky Mall', '3.0 km')]"
Creative Elegance,"[('J M J Hospital', '1.5 km'), ('Sri Sai Hospital Bengaluru Urban', '1.8 km'), ('VBR PU College', '1.0 km'), ('Nagawara Metro Station', '2.0 km'), ('Elements Mall', '2.5 km'), ('Manyata Tech Park', '2.0 km')]"
Creative Shree Vikas,"[('Sai Hospital', '1.5 km'), ('Navya Hospital', '1.8 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Kensri School', '2.0 km')]"
DC Golden Lotus,"[('Sumathi Nursing and Maternity Home', '1.5 km'), ('People Tree Hospitals', '2.0 km'), ('Saint Claret School', '1.8 km'), ('Goraguntepalya Metro Station', '2.0 km'), ('Orion Mall', '3.0 km')]"
DD Wisdom Pearl Apartment,"[('Chaitanya E-Techno School', '2 km'), ('St. Anne’s Pre-University College For Girls', '2 km'), ('Koshy’s Hospital', '2 km'), ('Ayur Vaid Hospital', '2 km'), ('KR Puram Railway Station', '2 km'), ('Gopalan Signature Mall', '2 km')]"
DLF Maiden Heights,"[('Y K Hospital', '1.5 km'), ('Indira Hospital Bengaluru Urban', '2.0 km'), ('Jigani Bus Stand', '2.0 km'), ('Narayana Hrudayalaya Hospital', '4.0 km'), ('Alliance University', '5.0 km')]"
DLF Westend Heights,"[('Jayashree Multi Speciality Hospital', '2.0 km'), ('St Pauls School Begur', '1.8 km'), ('Yelenahalli Bus Stop', '1.5 km'), ('St Anns School Begur', '1.8 km'), ('Government Primary School Yelenahalli', '2.0 km')]"
DLF Woodland Heights,"[('Y K Hospital', '1.8 km'), ('Udupi Hotel', '1.2 km')]"
DNR Arista,"[('Manipal Hospital Sarjapur Rd', '2.0 km'), ('ORCHIDS Intl School', '1.8 km'), ('Karmelaram Railway Station', '1.5 km'), ('Christ University', '2.0 km'), ('Nexus Mall Koramangala', '2.0 km')]"
DNR Parklink,"[('Aadya Academy The World School', '1.7 km'), ('Bhartiya Mall of Bengaluru', '2 km'), ('The Leela Bhartiya City', '2.3 km'), ('Cratis Hospital', '3.9 km'), ('Reva University', '6.2 km'), ('Embassy Manyata Business Park', '8.2 km'), ('NH75', '8.4 km')]"
DNR Reflection,"[('GHPS Ibaloor', '2 km'), ('High School', '2 km'), ('Dr. Levine Memorial Hospital', '2 km'), ('Sarjapur-Marathahalli Road', '1 km'), ('Soul Space Spirit Central Mall', '2 km'), ('Global Technology Park', '3 km')]"
DRA Ranka Aquagreens,"[('Kengeri Metro Station', '1.5 km'), ('KENGERI UPANAGARA Government Hospital', '2.0 km'), ('Shreya Hospital Bengaluru Rural', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Gnana Bodhini Primary School', '1.8 km')]"
DS Max Saaga,"[('Samastha Hospitals Pvt Ltd', '1.5 km'), ('Kammavari Sangha Institute of Technology', '2.0 km'), ('Uttarahalli Bus Station', '1.5 km'), ('Gubbalala School', '2.0 km'), ('Quality Nursing Institute', '2.5 km')]"
DS Max Sahara,"[('Etersnirmala Vidyalaya', '1.0 km'), ('Mathru Hospital', '7.6 km'), ('Market Square Mall', '8.1 km'), ('Huskur Lake View Park', '2.7 km'), ('Bhoomi College', '4.4 km')]"
DS Max Samyak,"[('Challaghatta Metro Station', '4.0 km'), ('Rajarajeshwari Hospital', '4.1 km'), ('St. Gregorios Public School', '0.9 km'), ('Rajarajeswari College of Engineering', '8.8 km'), ('KHB Mall', '9.5 km')]"
DS Max Sandalwood,"[('Prakriya Hospitals', '1.5 km'), ('Ragavendra Hospital', '1.8 km'), ('Schoenstatt St Marys High School', '1.0 km'), ('Nagasandra Metro Station', '1.0 km'), ('Orion Mall', '3.0 km'), ('Mall of Asia', '3.5 km'), ('AIMS Institutes', '2.0 km')]"
DS Max Sangam,"[('Hoodi Primary School', '2 km'), ('Seegehalli Government Hospital', '2 km'), ('Narayana Multispeciality Hospital', '2 km'), ('International Tech Park', '2 km'), ('Hoodi Railway Station', '2 km'), ('Whitefield Railway Station', '3 km')]"
DS Max Sankalp Manor,"[('National Public School', '2 km'), ('VIBGYOR High School', '2 km'), ('Koshys Multispecialty', '2 km'), ('North Bangalore Hospital', '2 km'), ('Outer Ring Road', '1 km'), ('Elements Mall', '3 km')]"
DS Max Satellite,"[('Kengeri Metro Station', '1.5 km'), ('BGS Global Hospitals', '2.0 km'), ('Shreya Hospital Bengaluru Rural', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Gnana Bodhini Primary School', '1.8 km')]"
DS Max Seasons,"[('Government Higher Primary School', '2 km'), ('Magdum Hospital', '2 km'), ('Marathahalli Main Road', '1 km'), ('Kundalahalli Metro Station', '2 km'), ('Forum Value Mall', '3 km')]"
DS Max Senate,"[('Rashtreeya Vidyalaya Metro Station', '2.0 km'), ('Fortis Hospital', '1.8 km'), ('Relic International School', '2.0 km')]"
DS Max Shreshta,"[('Regal Hospital', '1.5 km'), ('Amruth Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Reva University', '2.5 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Golden Chariot Public School', '2.0 km')]"
DS Max Silver Bell,"[('Sri Lakshmi Multi Speciality Hospital', '2.0 km'), ('Orchids The International School', '1.8 km'), ('Magadi Road Bus Stop', '1.5 km'), ('Unity Lifline Hospital Pvt Ltd', '2.0 km'), ('ASC Degree College', '2.0 km')]"
DS Max Silver Oak,"[('Hebbagodi Metro Station', '2.0 km'), ('Sri Sai Clinic', '1.5 km'), ('Apollo Pharmacy', '0.8 km'), ('Ebenezer International School', '1.8 km'), ('KFC', '1.2 km')]"
DS Max Silver Wood,"[('JJ Hospitals', '1.5 km'), ('BTL Institute of Technology', '2.0 km'), ('Bommasandra Metro Station', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Heelalige Railway Station', '2.0 km')]"
DS Max Sista Grand,"[('National Public School', '0.21 km'), ('Olympus Super Speciality Hospital', '3.6 km'), ('Vajarahalli Metro Station', '3.4 km'), ('Forum Mall', '5.3 km'), ('Dayanand Sagar College', '6.3 km')]"
DS Max Sista Nest,"[('SS Sparsh Hospital', '1.8 km'), ('Presidency School Banashankari', '1.5 km'), ('Pes University', '2.0 km')]"
DS Max Sky City,"[('Sai Hospital', '1.5 km'), ('Navya Hospital', '1.8 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Kensri School', '2.0 km')]"
DS Max Sky Samurai,"[('ITI College', '550 m'), ('Devangonthi Railway Station', '1 km'), ('NH648', '1.4 km'), ('RKB Sanjeevini Hospital', '1.5 km'), ('Bangalore Whitefield School', '3.3 km'), ('Whitefield (Kadugodi) Metro Station', '4 km'), ('Nexus Shantiniketan Mall', '5 km')]"
DS Max Sky Shubham,"[('Garden City University', '2 km'), ('Samuel Public School', '2.1 km'), ('Bhattarahalli Indoor Stadium', '2.8 km'), ('Krishnarajapuram Railway Station', '3.2 km'), ('Patil Hospital', '4.4 km'), ('Phoenix Marketcity', '8.5 km'), ('Old Madras Road', '7.9 km')]"
DS Max Sky Sisira,"[('PKB High School', '1.1 km'), ('Vidyashilp University', '11.6 km'), ('Rajanukunte Railway Station', '8.5 km'), ('Navachethana Hospital', '16.1 km'), ('The Galleria Mall', '10.0 km'), ('Yelahanka Junction', '9.8 km'), ('Bhartiya Mall of Bengaluru', '10.0 km')]"
DS Max Skycity,"[('Mintu Hospital', '3.1 km'), ('Mannath School', '0.13 km'), ('Bhartiya Mall of Bengaluru', '3.0 km'), ('Yelahanka Junction', '7.4 km'), ('Indhi PU College', '3.3 km'), ('Jakkur Aerodrome', '7.4 km'), ('The Galleria Mall', '5.0 km')]"
DS Max Skysupreme,"[('Kengeri Metro Station', '1.5 km'), ('Vishwa Venkateshwara Intl School', '1.8 km'), ('RV College of Engineering', '2.0 km'), ('Shreya Hospital', '2.0 km'), ('Gopalan Arcade Mall', '2.0 km')]"
DS Max Smart Nest,"[('Sapthagiri Hospital', '1.5 km'), ('Rajalakshmi Hospital', '1.8 km'), ('Sapthagiri College of Engineering', '2.0 km'), ('Chikka Banavara Railway Station', '2.5 km'), ('Mall of Asia', '4.0 km'), ('Jalahalli Metro Station', '3.0 km'), ('Soundarya Institute of Management', '2.0 km')]"
DS Max Sonata,"[('Sapthagiri College of Engineering', '2.0 km'), ('KMV Red Hills High School', '1.5 km'), ('Chikka Banavara Junction', '1.0 km'), ('Acharya Institutes', '2.0 km'), ('Rainbow International School', '1.5 km'), ('Bengaluru International Exhibition', '2.5 km'), ('Jalahalli Metro Station', '3.0 km')]"
DS Max Sparkle Nest,"[('Medi Derma Hospital', '1.5 km'), ('Teresa Bacq School', '1.0 km'), ('Manasa Public School', '1.5 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '3.0 km')]"
DS Max Sparkles,"[('Karunalayam Hospital', '2.0 km'), ('Little Millennium', '1.8 km'), ('Karmelaram Railway Station', '1.5 km'), ('Renuka Clinic', '2.0 km'), ('Gear Innovative International School', '2.0 km')]"
DS Max Spoorthi,"[('St. Philomenas Central School', '0.85 km'), ('Azim Premji University', '4.8 km'), ('Diya Complex', '6.4 km'), ('Jigala New Hospital', '7.7 km'), ('Sarjapura Attibele Rd', '1.5 km')]"
DS Max Springfield,"[('Medi Derma Hospital', '2 km'), ('Alpha College of Engineering', '2 km'), ('Vijaya Vittala Institute of Technology', '3 km'), ('Hennur Main Road', '1 km'), ('Elements Mall', '4 km'), ('Hennur Bus Stand', '2 km')]"
DS Max Star Nest,"[('Kengeri Metro Station', '1.5 km'), ('KENGERI UPANAGARA Government Hospital', '2.0 km'), ('Shreya Hospital Bengaluru Rural', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Gnana Bodhini Primary School', '1.8 km')]"
DS Max Starle,"[('Hebbagodi Metro Station', '1.5 km'), ('Anugraha Hospital', '2.0 km'), ('Sorsfort International School', '1.8 km'), ('Electronic City Police Station', '2.0 km'), ('India Post Office', '2.0 km')]"
DS Max Stavam,"[('Vidyashilp Academy', '2.0 km'), ('Omega Multispeciality Hospital', '2.5 km'), ('REVA University', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('Yelahanka Junction', '3.0 km'), ('Doddaballapur Main Road', '1.0 km'), ('Dasarahalli Metro Station', '4.0 km')]"
DS Max Stavam Nest,"[('CyteCare', '2.0 km'), ('Krishnadevaraya Hospital And Research Centre', '1.5 km'), ('Ryan International School', '2.0 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '2.5 km'), ('B.M.S. Institute of Technology and Management', '2.0 km')]"
DS Max Sterling,"[('Neev School', '2 km'), ('Government Hospital', '2 km'), ('Agarwal Eye Hospital', '2 km'), ('Whitefield Metro Station', '3 km'), ('Forum Value Mall', '3 km'), ('International Tech Park', '3 km')]"
DS Max Stonescape,"[('Banashankari Hospital', '2.0 km'), ('Florence Public School', '1.8 km'), ('Yelachenahalli Metro Station', '1.5 km'), ('Srinidhi Public School', '2.0 km'), ('BMTC Bus Depot 34', '1.5 km')]"
DS Max Sukruth,"[('Athreya Hospital', '3.2 km'), ('V Blooms D World School', '1.8 km'), ('Bommasandra Metro Station', '7.4 km'), ('Alliance University', '8.0 km'), ('Suvidya College', '2.5 km')]"
DS Max Sukruth Chandapura,"[('Athreya Hospital', '3.2 km'), ('V Blooms D World School', '1.8 km'), ('Alliance University', '8.0 km'), ('Bommasandra Metro Station', '7.4 km'), ('Mumbai Highway', '2.5 km')]"
DS Max Supreme,"[('BGS Global Hospitals', '2.0 km'), ('SJB Institute of Technology', '1.8 km'), ('Kengeri Metro Station', '1.5 km'), ('R.V. College of Engineering', '2.0 km'), ('Global Village Tech Park', '2.0 km')]"
DS Max Synergy,"[('REVA University', '2.5 km'), ('Sreeva Hospital', '2.0 km'), ('Zeena English School', '1.5 km'), ('Yelahanka Junction', '3.0 km'), ('Bhartiya Mall of Bengaluru', '3.5 km'), ('The Galleria Mall', '4.0 km'), ('Dasarahalli Metro Station', '4.0 km')]"
DS Needs 3 Project 276,"[('Royal Meenakshi Mall', '0.85 km'), ('Etercarmel Academy ICSE School', '1.7 km'), ('Vijayashree Hospitals', '2.2 km'), ('Christ University Bannerghatta', '2.0 km'), ('NH48', '4.8 km')]"
DSMax Savera,"[('Uttarahalli Bus Station', '1.5 km'), ('St. Marthas Hospital', '2.0 km'), ('Government School', '1.8 km'),  ('Sri Chaitanya Techno School', '2.5 km')]"
DSMax Stonescape,"[('Banashankari Hospital', '1.5 km'), ('Florence Public School 4th Blk Anjanapura', '1.8 km'), ('BMTC Bus Depot 34', '1.5 km'), ('GHPS Kembathhalli', '2.0 km'), ('Mvs HPS Anjanapura', '2.0 km')]"
DSR Brown Creeper,"[('SH 35', '2.8 km'), ('Chrysalis High Varthur', '2.9 km'), ('Karunalayam Hospital', '3.1 km'), ('Karmelaram Railway Station', '5.3 km'), ('Brookefield Mall', '6.2 km'), ('Helios Business Park', '6.7 km'), ('Carmel Convent School', '1 km')]"
DSR Green Waters,"[('Carmel Convent School', '1 km'), ('Krupanidhi Residential PU College', '1.3 km'), ('SH 35', '2.6 km'), ('Aurbis Business Parks', '7.5 km'), ('Manipal Hospital Varthur Road', '7.5 km'), ('Market Square Mall Sarjapur Road', '7 km'), ('Beratena Agrahara Metro Station (upcoming)', '5 km')]"
DSR Highland Greenz,"[('SH 35', '1 km'), ('Karmelaram Railway Station', '3.5 km'), ('Hri Manjunatha Clinic and Medicals', '4.3 km'), ('Soul Space Spirit Centro Mall', '6.2 km'), ('Exora Business Park', '7.2 km'), ('William Carey University', '8.4 km'), ('Azim Premji University', '4 km')]"
DSR Parkway,"[('Carmel Convent School', '500 m'), ('Sarjapur Road', '1.6 km'), ('Manipal Hospital Sarjapur Road', '6.3 km'), ('Brookefield Mall', '11.1 km'), ('Ienergizer IT Services', '10.7 km'), ('Naveen University of Technology', '10.8 km'), ('Beratena Agrahara Metro Station (upcoming)', '5 km')]"
DSR The Courtyard,"[('Mayflower Montessori School', '1.9 km'), ('Belenus Champion Hospital', '3.7 km'), ('NH 44', '4.7 km'), ('New Horizon College of Engineering', '5 km'), ('Exora Business Park', '5.4 km'), ('Market Square Mall Sarjapur Road', '8.3 km'), ('Nallurhalli Metro Station', '9.8 km')]"
Daadys Elixir,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Daisy Mansion,"[('St. Thomas School', '2 km'), ('Delhi Public School', '2 km'), ('Government School', '2 km'), ('Vasan Eye Care', '2 km'), ('Whitefield Metro Station', '2 km'), ('Inorbit Mall', '2 km')]"
Datla Satya Greens,"[('Vijaya Health Centre', '1.5 km'), ('Soukya Hospital', '1.8 km'), ('Agricultural Engineering', '2.0 km'), ('Yelahanka Junction', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('Doddaballapur Main Road', '1.0 km')]"
